contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,contract_type,exp_date,current_price,mid_price,bid_ask_diff,moneyness,days_to_exp,T
AMZN260130C00125000,2026-01-26 20:35:12+00:00,125.0,114.57,111.1,115.0,0.0,0.0,3.0,20,4.898441376953125,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,113.05,3.9000000000000057,1.91256005859375,0,0.0
AMZN260130C00130000,2026-01-26 20:33:47+00:00,130.0,109.4,106.1,110.15,0.0,0.0,2.0,12,4.773441533203124,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,108.125,4.050000000000011,1.8390000563401443,0,0.0
AMZN260130C00135000,2026-01-27 19:47:37+00:00,135.0,108.84,101.1,105.1,0.0,0.0,1.0,38,4.472660659179686,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,103.1,4.0,1.7708889431423611,0,0.0
AMZN260130C00140000,2026-01-26 20:55:00+00:00,140.0,98.5,96.1,100.1,0.0,0.0,5.0,10,4.226567216796875,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,98.1,4.0,1.7076429094587053,0,0.0
AMZN260130C00145000,2026-01-26 20:34:47+00:00,145.0,94.46,91.1,95.1,0.0,0.0,3.0,6,3.9863281591796875,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,93.1,4.0,1.6487586712015085,0,0.0
AMZN260130C00150000,2026-01-28 15:04:37+00:00,150.0,97.79,86.25,90.05,0.0,0.0,1.0,56,3.717774143066406,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,88.15,3.799999999999997,1.593800048828125,0,0.0
AMZN260130C00155000,2026-01-26 20:47:20+00:00,155.0,84.55,81.1,84.95,0.0,0.0,10.0,7,3.4199233251953123,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,83.025,3.8500000000000085,1.5423871440272177,0,0.0
AMZN260130C00160000,2026-01-26 20:29:56+00:00,160.0,79.37,76.35,80.0,0.0,0.0,4.0,10,3.2421893945312497,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,78.175,3.6500000000000057,1.4941875457763671,0,0.0
AMZN260130C00165000,2026-01-27 20:45:50+00:00,165.0,73.06,71.25,75.0,-6.6600037,-8.354244,1.0,7,3.031252421875,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,73.125,3.75,1.4489091352982955,0,0.0
AMZN260130C00170000,2026-01-28 15:14:02+00:00,170.0,68.98,66.1,70.15,-7.359993,-9.64107,2.0,63,2.917971455078125,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,68.125,4.050000000000011,1.4062941607306985,0,0.0
AMZN260130C00175000,2026-01-26 20:32:27+00:00,175.0,64.38,61.25,65.1,0.12999725,0.20233035,1.0,21,2.684573601074219,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,63.175,3.8499999999999943,1.3661143275669643,0,0.0
AMZN260130C00180000,2026-01-27 15:11:40+00:00,180.0,59.9,56.4,59.95,0.0,0.0,3.0,70,2.400394624023437,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,58.175,3.5500000000000043,1.328166707356771,0,0.0
AMZN260130C00185000,2026-01-28 14:42:24+00:00,185.0,52.42,51.45,55.0,-8.480003,-13.924472,1.0,184,2.237309094238281,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,53.225,3.549999999999997,1.2922703098606418,0,0.0
AMZN260130C00190000,2026-01-27 18:03:07+00:00,190.0,52.26,46.45,49.55,0.0,0.0,6.0,198,1.7792979785156249,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,48.0,3.0999999999999943,1.2582631964432567,0,0.0
AMZN260130C00195000,2026-01-28 18:05:24+00:00,195.0,47.78,41.45,45.1,0.0,0.0,2.0,63,1.9062504687500001,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,43.275000000000006,3.6499999999999986,1.2260000375600961,0,0.0
AMZN260130C00200000,2026-01-29 15:50:07+00:00,200.0,37.08,37.2,39.3,-6.419998,-14.758616,31.0,165,1.2519568652343749,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,38.25,2.0999999999999943,1.1953500366210938,0,0.0
AMZN260130C00205000,2026-01-29 16:16:58+00:00,205.0,33.0,31.5,34.25,-5.34,-13.928013,32.0,93,1.056645341796875,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,32.875,2.75,1.1661951576791159,0,0.0
AMZN260130C00207500,2026-01-27 17:02:56+00:00,207.5,35.07,28.95,32.3,0.0,0.0,1.0,4,1.3183627832031248,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,30.625,3.349999999999998,1.1521446136106928,0,0.0
AMZN260130C00210000,2026-01-29 14:51:52+00:00,210.0,27.82,26.9,29.0,-5.41,-16.28047,20.0,2581,1.0000000000000003e-05,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,27.95,2.1000000000000014,1.1384286063058036,0,0.0
AMZN260130C00212500,2026-01-27 18:53:06+00:00,212.5,31.25,23.95,27.2,0.0,0.0,60.0,19,1.1025435498046878,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,25.575,3.25,1.125035328584559,0,0.0
